bal_150_t-1,bal_250_t-1,bal_350_t-1,bal_energy_band_low_t-1,bal_energy_band_medium_t-1,bal_energy_band_high_t-1,6004_FTF_t-1,6004_BSF_t-1,6004_BPFO_t-1,6004_BPFI_t-1,bal_150_t,bal_250_t,bal_350_t,bal_energy_band_low_t,bal_energy_band_medium_t,bal_energy_band_high_t,6004_FTF_t,6004_BSF_t,6004_BPFO_t,6004_BPFI_t
-9.2818378946,-7.767026036,-9.4860135578,-810.2637104051,-2884.0323087762,-7167.8033798048,-48.2866794589,-38.7197585025,-37.4688695723,-41.7474126818,-9.8510595891,-7.6839231942,-9.2069861595,-894.1093586142,-3105.8661372229,-7352.2032010219,-49.417869484,-43.1663040526,-43.7046560477,-41.8301529216
-9.3632190155,-7.8633796675,-9.4982209104,-831.9148472583,-2884.7825717539,-7193.2273643377,-51.3705292244,-40.6968184826,-37.2164612052,-39.1328611645,-9.775639696,-8.0083229081,-9.2453712425,-902.9221498519,-3052.4242013291,-7339.8710891651,-52.342791719,-42.8059905079,-40.991401346,-41.6153998606
-9.3284142249,-7.752336486,-9.4731204139,-801.2149411965,-2875.768984507,-7140.8996838368,-48.3446847567,-37.9236565468,-37.444919905,-39.7666281006,-9.7392983467,-7.9630408619,-9.6219719147,-897.7861600625,-3072.3085486338,-7349.0867497384,-49.7760332587,-42.1603729969,-40.1173944902,-40.971297275
-9.1506494735,-7.7176942662,-9.3630080412,-809.9645638236,-2889.7752301739,-7157.2559651287,-51.0012301783,-37.1069452983,-36.9187350177,-42.6054194916,-9.9053051823,-7.9661806572,-9.3762775459,-891.4768734762,-3082.4858093113,-7376.6889171521,-49.4351888223,-43.6996797838,-37.1068747707,-40.2254792479
-9.1829747033,-7.7887655984,-9.3988215793,-808.7327278902,-2889.4416599821,-7171.1856209684,-48.752521112,-37.0840388538,-36.3322530583,-39.1938934406,-9.8386181506,-7.7463785738,-9.0442223593,-908.5041090264,-3077.7622286267,-7354.8285108415,-49.1108794008,-43.9400828214,-41.443034595,-41.1461026571
-9.0877416996,-7.8022703457,-9.3870787183,-795.0692515202,-2876.6851098612,-7156.8858939136,-53.2949122428,-36.5878978505,-35.5971840016,-40.8141245212,-9.6001639086,-7.8550807523,-9.1170460034,-913.3553668312,-3088.5344676712,-7359.9180669051,-49.1581767608,-44.2476446855,-43.6016172529,-40.1395465
-9.2850898127,-7.6238200717,-9.3081309953,-793.186907347,-2871.678082206,-7159.6061814018,-49.5137826569,-39.2166544423,-36.8203462785,-39.8834121158,-9.8059589701,-7.784218291,-9.2137585627,-901.7172228404,-3086.7534502574,-7339.3333417178,-48.2927049558,-43.0780818169,-40.3777884291,-40.0574846364
-9.3929011595,-7.7970462436,-9.4547536026,-818.5564565562,-2899.6229910602,-7191.7955392266,-53.0456622279,-39.1513105911,-35.7736780454,-39.1315494915,-10.1386602672,-7.8009083084,-9.0578042003,-899.0187289711,-3056.2837174496,-7337.533531617,-47.0358627166,-43.1593037132,-43.5134566565,-41.0868186665
-9.1940165433,-7.7511204494,-9.3347952029,-790.0220779855,-2890.6069673653,-7180.6926537545,-43.5962160258,-36.8317333534,-35.4509265408,-41.5294061484,-9.8510241631,-7.7331981228,-9.0825974452,-902.3622869773,-3081.5496992149,-7344.2309989672,-50.1851969701,-41.8920169123,-43.049659388,-40.5103616099
-9.4920941241,-7.7847030243,-9.4393043264,-810.6529221831,-2865.5984432048,-7142.7037026256,-50.4230969971,-38.6120554532,-36.9277604231,-40.2138370406,-9.905485639,-7.7709726137,-9.1488990657,-904.622382518,-3077.5901245532,-7354.5492833267,-48.8652277722,-43.5901143359,-42.4094669694,-39.886412228
